runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,44,0.127,9,8,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,45,0.148,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,46,0.189,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,47,0.211,9,4,2,close-attack
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,48,0.032,5,4,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,49,0.091,5,4,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,50,0.157,5,4,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,51,0.188,5,4,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,52,0.117,5,4,0,jump-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,53,0.06,5,4,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,54,0.017,5,4,0,jump-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,55,0.066,5,4,0,jump-sprint
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,56,0.125,5,4,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,57,0.191,5,4,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,58,0.086,5,4,1,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,1,7.851,21,20,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,2,7.753,21,20,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,3,7.41,21,20,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,4,6.968,21,20,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,5,6.471,21,20,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,6,5.975,21,20,0,advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,7,5.478,21,20,0,advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,8,4.982,21,20,0,advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,9,4.486,21,20,0,jump-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,10,3.989,21,20,0,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,11,3.493,21,20,0,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,12,3.026,21,20,0,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,13,2.771,21,16,2,hold-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,14,2.406,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,15,1.981,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,16,1.495,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,17,0.974,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,18,0.465,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,19,0.068,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,20,0.105,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,21,0.123,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,22,0.104,16,16,0,advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,23,0.122,16,16,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,24,0.133,16,12,2,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,25,0.138,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,26,0.141,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,27,0.143,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,28,0.144,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,29,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,30,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,31,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,32,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,33,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,34,0.145,11,12,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,35,0.145,11,8,2,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,36,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,37,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,38,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,39,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,40,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,41,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,42,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,43,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,44,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,45,0.145,6,8,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,46,0.145,6,4,2,close-attack
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,47,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,48,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,49,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,50,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,51,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,52,0.145,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,53,0.175,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,54,0.191,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,55,0.229,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,56,0.279,1,4,0,sprint-advance
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,57,0.153,1,4,1,close-attack
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,1,7.712,20,20,0,sprint-advance
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,2,7.615,20,20,0,sprint-advance
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,3,7.271,20,20,0,sprint-advance
